cg_poly

5 atom types
3 bond types

1594 atoms
9 bonds

0.000000 69.873901 xlo xhi
0.000000 69.873901 ylo yhi
0.000000 69.873901 zlo zhi

Masses

1 86.000000 # SOL
2 29.000000 # B4
3 104.000000 # B3
4 105.000000 # B1
5 28.000000 # B2

Atoms

408 82 1  17.182442 21.137558 45.298489
409 82 1  31.695465 23.162209 33.771397
410 82 1  6.846745 68.364067 3.491628
411 83 1  61.540699 39.891861 19.794069
412 83 1  63.744068 22.003954 65.051277
413 83 1  23.039883 10.913139 47.574070
414 83 1  16.907442 50.644184 29.674068
415 83 1  31.076397 3.578256 4.274767
416 84 1  62.547443 44.331280 36.129185
417 84 1  35.014420 64.855583 6.166396
418 84 1  11.977791 15.589884 21.527325
419 84 1  13.203372 9.340814 22.046047
420 84 1  30.028255 9.139302 10.145698
421 85 1  49.285233 15.875116 65.914764
422 85 1  7.595930 35.117908 22.369419
423 85 1  68.354301 29.585115 29.166628
424 85 1  12.823256 41.187092 6.574535
425 85 1  64.767212 17.635466 46.396862
426 86 1  5.898837 25.285465 21.657093
427 86 1  25.589884 34.148952 5.625465
428 86 1  29.170582 4.422093 20.597210
429 86 1  69.097092 58.403374 5.611163
430 86 1  10.710930 65.237793 9.542558
431 87 1  28.329069 69.245232 67.046631
432 87 1  66.473373 45.890350 46.318722
433 87 1  10.792442 29.389301 16.296629
434 87 1  50.348606 43.770699 66.212097
435 87 1  26.456280 67.856514 2.269767
436 88 1  5.695698 5.517791 10.749535
437 88 1  26.466280 37.579765 15.476745
438 88 1  68.705116 36.258720 32.640583
439 88 1  52.627441 48.509998 61.866512
440 88 1  17.031395 33.048489 66.031975
441 89 1  35.843372 46.467442 6.553954
442 89 1  68.833374 31.958721 59.094650
443 89 1  54.408024 59.835812 43.391861
444 89 1  31.030697 42.487675 64.873955
445 89 1  11.106860 69.654190 59.006626
446 90 1  20.428255 19.843952 15.587442
447 90 1  65.131516 29.528488 54.606277
448 90 1  27.952442 67.299881 10.113837
449 90 1  58.022907 48.187908 16.283720
450 90 1  55.411278 37.636745 20.686975
451 91 1  61.774185 61.388256 1.092442
452 91 1  14.196047 60.878487 65.577675
453 91 1  21.500116 44.063488 55.254185
454 91 1  3.956511 63.411861 69.533958
455 91 1  61.029305 56.513721 3.663721
456 92 1  66.842903 6.294652 66.343254
457 92 1  27.113024 25.137442 11.955233
458 92 1  52.778255 12.716744 13.408488
459 92 1  38.649769 21.542210 5.688023
460 92 1  44.193142 43.639881 0.540167
461 93 1  42.095699 62.561630 32.233486
462 93 1  11.473372 32.062675 63.093605
463 93 1  62.019188 29.311047 31.185698
464 93 1  65.236740 46.973255 62.359650
465 93 1  2.603310 18.326046 59.897556
466 94 1  40.222908 9.394419 40.072559
467 94 1  51.258720 47.902092 44.913025
468 94 1  24.881744 36.387676 50.137444
469 94 1  67.562790 8.859303 34.200233
470 94 1  10.911744 29.554302 51.706161
471 95 1  57.356628 44.055466 32.576511
472 95 1  25.755465 9.079186 55.565464
473 95 1  28.516163 1.753139 39.541512
474 95 1  64.911514 0.745465 29.767210
475 95 1  53.861164 12.769186 37.941280
476 96 1  53.804070 64.123604 21.978722
477 96 1  56.916279 47.830929 40.346394
478 96 1  31.778837 32.383606 51.787556
479 96 1  6.218256 41.362789 27.375349
480 96 1  27.740931 56.347908 58.200233
481 97 1  31.764303 31.332211 42.352211
482 97 1  63.339069 12.657209 33.991394
483 97 1  27.019419 6.350582 42.212093
484 97 1  62.662209 65.693138 32.286278
485 97 1  1.155349 45.499886 16.062674
486 98 1  28.621628 47.179302 10.869884
487 98 1  18.785465 18.085348 34.899769
488 98 1  46.966164 42.541164 15.603605
489 98 1  27.366512 27.838837 29.710930
490 98 1  11.837558 49.210117 24.918720
491 99 1  44.673256 6.087674 66.389305
492 99 1  41.148720 31.319185 20.967907
493 99 1  35.164650 2.283256 67.375580
494 99 1  50.751976 11.158256 2.703426
495 99 1  35.152908 67.635933 37.451279
496 100 1  9.113605 51.015114 2.058423
497 100 1  45.654999 11.846745 63.803257
498 100 1  35.142559 12.885232 2.221332
499 100 1  12.199767 43.109650 61.837326
500 100 1  42.315697 1.388023 67.603722
501 101 1  51.586163 8.301046 46.907093
502 101 1  2.504651 37.069653 54.535000
503 101 1  10.339767 8.357791 8.044070
504 101 1  40.786396 15.915349 48.044418
505 101 1  2.077442 13.427325 43.410351
506 102 1  35.096630 53.985348 16.222908
507 102 1  27.421162 50.422909 57.438255
508 102 1  10.910349 52.075233 52.314301
509 102 1  34.787327 25.885931 4.041395
510 102 1  28.375582 21.401978 24.034418
511 103 1  48.404537 38.870583 20.818489
512 103 1  55.239883 65.543839 5.099768
513 103 1  24.606745 51.781162 30.977325
514 103 1  66.096977 5.886512 46.093838
515 103 1  1.190930 63.454304 15.508256
516 104 1  18.789186 57.157093 57.426048
517 104 1  51.521858 5.338837 4.960465
518 104 1  3.439302 12.216977 31.858023
519 104 1  36.982674 5.266744 38.307907
520 104 1  55.280582 41.073139 55.249069
521 105 1  46.973022 19.217442 55.051861
522 105 1  62.375698 34.592789 36.718487
523 105 1  6.449884 19.613836 7.399302
524 105 1  10.147209 66.738258 16.121744
525 105 1  45.493370 38.851974 43.136627
526 106 1  27.967907 10.718605 29.395000
527 106 1  5.913605 15.677674 51.333023
528 106 1  6.426860 56.303371 52.253254
529 106 1  61.548603 56.595001 44.074535
530 106 1  41.606396 53.714417 19.546047
531 107 1  38.807209 34.640232 24.270931
532 107 1  54.080696 59.002209 0.173139
533 107 1  23.972326 45.382092 43.584885
534 107 1  18.853373 28.464186 48.134304
535 107 1  34.082092 24.728838 42.054653
536 108 1  30.366512 14.917209 12.313837
537 108 1  16.746511 26.986046 2.237442
538 108 1  40.661282 14.442326 1.764937
539 108 1  6.590232 7.280465 49.694187
540 108 1  68.326050 69.644485 60.322208
541 109 1  36.478024 45.656513 43.321976
542 109 1  35.993488 10.366511 64.143723
543 109 1  53.928371 41.629650 6.657907
544 109 1  27.655233 68.831108 19.569534
545 109 1  57.059883 15.703605 26.976164
546 110 1  39.895699 67.177322 43.788372
547 110 1  63.714302 44.013256 18.563023
548 110 1  59.817326 7.074186 18.943489
549 110 1  8.331861 69.402328 40.423370
550 110 1  55.398022 61.260929 8.240582
551 111 1  48.488373 66.272560 19.010698
552 111 1  32.024769 48.464302 15.708838
553 111 1  24.650698 15.292907 33.675697
554 111 1  57.945812 57.031746 53.792557
555 111 1  16.646976 17.988140 55.656048
556 112 1  22.390581 34.662907 35.068142
557 112 1  33.356628 4.649651 62.597210
558 112 1  30.074768 54.313606 25.749069
559 112 1  53.386627 58.874420 54.978607
560 112 1  31.457094 1.511628 50.911278
561 113 1  64.317329 22.546743 13.536744
562 113 1  21.348255 27.410116 67.720581
563 113 1  41.572906 0.460464 56.412674
564 113 1  62.853722 52.982906 50.491859
565 113 1  40.064770 38.885349 55.433022
566 114 1  20.632675 10.748837 13.224884
567 114 1  55.218372 64.191628 54.086861
568 114 1  52.281628 8.067093 39.959766
569 114 1  11.199652 39.418606 65.508141
570 114 1  4.211861 48.929882 59.751976
571 115 1  3.130698 68.648026 23.905581
572 115 1  69.063438 11.882325 61.425930
573 115 1  20.103952 33.637444 0.353604
574 115 1  21.478373 49.980579 24.016163
575 115 1  48.834652 56.850464 5.006047
576 116 1  65.378258 48.672791 27.102558
577 116 1  9.754302 20.558489 16.753489
578 116 1  31.828606 49.050117 30.188721
579 116 1  55.591862 42.723022 61.754883
580 116 1  45.924419 52.112556 9.998605
581 117 1  54.371048 2.677907 15.020000
582 117 1  54.995117 55.676044 29.568256
583 117 1  32.165813 21.283140 8.080349
584 117 1  17.525000 45.921394 61.604187
585 117 1  63.190929 41.515114 8.891861
586 118 1  35.793606 64.848839 24.496046
587 118 1  24.487209 17.458488 22.378023
588 118 1  20.821163 13.871861 58.663139
589 118 1  1.548023 29.171164 21.170931
590 118 1  32.302441 50.974651 35.207325
591 119 1  62.160698 13.392209 18.917675
592 119 1  18.062906 17.249187 26.158257
593 119 1  46.451744 9.353953 5.783605
594 119 1  65.818489 66.354187 40.075001
595 119 1  64.052910 40.606163 69.078018
596 120 1  14.466744 10.430000 10.277675
597 120 1  18.799070 40.821861 50.640118
598 120 1  13.305232 26.990698 20.462442
599 120 1  6.025116 48.391277 22.959536
600 120 1  60.224419 1.183255 68.902847
601 121 1  3.812325 41.797211 57.254650
602 121 1  63.292908 19.101048 16.954302
603 121 1  25.382557 4.324651 7.200931
604 121 1  59.548023 48.620697 50.524536
605 121 1  60.366859 2.428488 38.551163
606 122 1  25.276628 34.388721 11.217791
607 122 1  42.881046 49.472324 39.524418
608 122 1  56.650928 29.819420 38.842674
609 122 1  30.954535 47.965351 44.387791
610 122 1  59.135582 29.586744 7.624302
611 123 1  1.783372 41.541512 30.845116
612 123 1  69.322906 17.096163 20.599186
613 123 1  67.978317 52.935581 52.421280
614 123 1  23.821976 45.419537 8.623488
615 123 1  64.412209 49.521397 54.800583
616 124 1  25.748257 11.754884 4.548837
617 124 1  23.223604 29.663372 38.255581
618 124 1  18.938255 67.495293 41.333370
619 124 1  20.052210 41.587212 44.619419
620 124 1  17.445814 37.998257 35.290813
621 125 1  8.088721 26.562559 25.988953
622 125 1  28.107674 55.238605 5.031512
623 125 1  53.549538 44.857212 25.116396
624 125 1  24.344999 16.999069 65.691856
